family,policy,throughput_tasks_per_s,p95_latency_ms,mean_power_impact
bursty_mixed,caphs,7.727642959584216,3681.8255970000005,72.63166666666667
bursty_mixed,fcfs,2.0486693977144825,14410.236861,92.05507478632478
bursty_mixed,fixed_priority,8.235076170426623,3260.7446393333335,239.78333333333333
bursty_mixed,least_loaded,4.634751809021328,6032.791638666667,451.4873015873016
bursty_mixed,work_stealing,4.882134159093945,5870.048736,456.9780952380952
dag_stream,caphs,10.88316086441823,2204.7325836666664,57.11666666666667
dag_stream,fcfs,3.1026448194817386,7587.669194333333,86.00740740740741
dag_stream,fixed_priority,8.392119084014396,2693.880264,197.1
dag_stream,least_loaded,5.708120967945092,4050.633944333333,217.62333333333333
dag_stream,work_stealing,5.509265283295325,4242.8,229.6027777777778
steady_mixed,caphs,8.154779808474936,3079.125278,96.52777777777777
steady_mixed,fcfs,2.4331244000934817,11174.653833666665,89.32828282828284
steady_mixed,fixed_priority,6.100574336229251,4040.700902666667,361.51666666666665
steady_mixed,least_loaded,4.715047822317504,5617.920069333333,378.8666666666666
steady_mixed,work_stealing,4.671116140072782,5715.578083,407.56111111111113
unified_memory_pressure,caphs,5.263418588216633,4216.956333333333,85.27499999999999
unified_memory_pressure,fcfs,1.5862626105992794,14207.649347,92.23454365079364
unified_memory_pressure,fixed_priority,4.658087665388542,4805.810721999999,288.9111111111111
unified_memory_pressure,least_loaded,3.909603007176109,5738.967944666667,569.4222222222223
unified_memory_pressure,work_stealing,3.3357085355439744,5877.088319333333,479.7142857142857
